"REF","Company (Manufacturer)","Company Location","Review Date","Country of Bean Origin","Specific Bean Origin or Bar Name","Cocoa Percent","Ingredient Nums","Ingredients","Most Memorable Characteristics","Rating"
370,"Aequare (Gianduja)","Ecuador",2009,"Ecuador","Los Rios, Quevedo, Arriba",0.55,4,"Beans,Sugar,Cocoa Butter,Vanilla","sandy, sweet, banana cream",2.75
316,"Ah Cacao","Mexico",2009,"Mexico","Tabasco",0.7,3,"Beans,Sugar,Cocoa Butter","gritty, spice, cocoa",3
636,"Akesson's (Pralus)","U.K.",2011,"Indonesia","Bali (west), Sukrama Family, Melaya area",0.75,4,"Beans,Sugar,Cocoa Butter,Lecithin","hay, nut, berry",3.75
502,"Akesson's (Pralus)","U.K.",2010,"Madagascar","Madagascar, Ambolikapiky P.",0.75,4,"Beans,Sugar,Cocoa Butter,Lecithin","strong pepper, musty",2.75
508,"Akesson's (Pralus)","U.K.",2010,"Brazil","Monte Alegre, D. Badero",0.75,4,"Beans,Sugar,Cocoa Butter,Lecithin","fatty, intense, woody",2.75
1992,"Alain Ducasse","France",2017,"Mexico","Porcelana, Mexique",0.75,6,"Beans,Sugar,Cocoa Butter,Vanilla,Lecithin,Salt","strawberry, cream, gateway",3.5
1215,"Alain Ducasse","France",2014,"Madagascar","Madagascar",0.75,5,"Beans,Sugar,Cocoa Butter,Vanilla,Salt","citrus, fatty, dairy",3
1215,"Alain Ducasse","France",2014,"Trinidad","Trinite",0.65,6,"Beans,Sugar,Cocoa Butter,Vanilla,Lecithin,Salt","roasty, sweet, savory",2.75
1215,"Alain Ducasse","France",2014,"Vietnam","Vietnam",0.75,5,"Beans,Sugar,Cocoa Butter,Vanilla,Salt","nutty, roasty, odd dairy",2.75
1061,"Alain Ducasse","France",2013,"Venezuela","Chuao",0.75,5,"Beans,Sugar,Cocoa Butter,Vanilla,Lecithin","sandy, dirt, ashey",2.5
1173,"Alain Ducasse","France",2013,"Peru","Piura, Perou",0.75,5,"Beans,Sugar,Cocoa Butter,Vanilla,Lecithin","cardboard, dirt, roasty",2.5
1944,"Alexandre","Netherlands",2017,"Ecuador","Winak Coop, Napo",0.7,3,"Beans,Sugar,Cocoa Butter","sandy, green, floral",3.5
1944,"Alexandre","Netherlands",2017,"Nicaragua","La Dalia, Matagalpa",0.7,3,"Beans,Sugar,Cocoa Butter","sandy, sweet, nibby",3.5
1944,"Alexandre","Netherlands",2017,"Tanzania","Makwale Village, Kyela",0.7,3,"Beans,Sugar,Cocoa Butter","sandy, melon, banana",3.5
1944,"Alexandre","Netherlands",2017,"Vietnam","Tien Giang",0.7,3,"Beans,Sugar,Cocoa Butter","sandy, sweet, roasty",3.5
2044,"Altus aka Cao Artisan","U.S.A.",2018,"Dominican Republic","Oko Caribe",0.7,3,"Beans,Sugar,Cocoa Butter","sweet, coarse, nutty",3
1728,"Altus aka Cao Artisan","U.S.A.",2016,"Peru","Acopagro",0.6,3,"Beans,Sugar,Cocoa Butter","dry, sweet, caramel",3
1728,"Altus aka Cao Artisan","U.S.A.",2016,"Nicaragua","Momotombo",0.6,3,"Beans,Sugar,Cocoa Butter","powdery, sweet, molasses",2.75
1732,"Altus aka Cao Artisan","U.S.A.",2016,"Ecuador","Gruppo Salinas",0.6,3,"Beans,Sugar,Cocoa Butter","sandy, nutty, earthy, roasty",2.75
1732,"Altus aka Cao Artisan","U.S.A.",2016,"Bolivia","CIAAB Coop",0.6,3,"Beans,Sugar,Cocoa Butter","sandy, sweet, pungent",2.5
1732,"Altus aka Cao Artisan","U.S.A.",2016,"Peru","Villa Andina",0.6,3,"Beans,Sugar,Cocoa Butter","sandy, sweet, sour, off",2.5
1129,"Altus aka Cao Artisan","U.S.A.",2013,"Bolivia","Bolivia, batch 101",0.8,4,"Beans,Sugar,Cocoa Butter,Lecithin","gritty, berry, mild bitter",3.25
1133,"Altus aka Cao Artisan","U.S.A.",2013,"Peru","Peru, batch 148",0.6,4,"Beans,Sugar,Cocoa Butter,Lecithin","gritty, too sweet, fruit",3.25
1125,"Altus aka Cao Artisan","U.S.A.",2013,"Dominican Republic","Conacado, batch 130",0.6,4,"Beans,Sugar,Cocoa Butter,Lecithin","sandy, sweet, dairy, spice",3
1133,"Altus aka Cao Artisan","U.S.A.",2013,"Bolivia","Bolivia, batch 154",0.6,4,"Beans,Sugar,Cocoa Butter,Lecithin","grit, sweet, caramel, fruit",3
1125,"Altus aka Cao Artisan","U.S.A.",2013,"Venezuela","Sur del Lago",0.6,4,"Beans,Sugar,Cocoa Butter,Lecithin","sweet, moldy, off",2.5
2872,"Amano","U.S.A.",2023,"Venezuela","Cuyagua",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","nutty, melon, faint vanilla",3
725,"Amano","U.S.A.",2011,"Papua New Guinea","Morobe",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","tart, lemon, smoke",4
470,"Amano","U.S.A.",2010,"Ecuador","Guayas",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","strong spice, intense pepper",4
470,"Amano","U.S.A.",2010,"Dominican Republic","Dos Rios",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","orange, cinamon",3.75
544,"Amano","U.S.A.",2010,"Venezuela","Chuao",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","woody, red berry, sour",3
363,"Amano","U.S.A.",2009,"Venezuela","Montanya",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","hot spice, roasty",3
304,"Amano","U.S.A.",2008,"Indonesia","Bali, Jembrana",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","sticky, nutty, high acidity",2.75
175,"Amano","U.S.A.",2007,"Venezuela","Ocumare",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","spicy, strawberry",3.75
129,"Amano","U.S.A.",2007,"Madagascar","Madagascar",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","spice, nut, cocoa, fruit",3.5
322,"Amatller (Simon Coll)","Spain",2009,"Ghana","Ghana",0.7,2,"Beans,Sugar","dry, chalky, fudge-like",3
464,"Amatller (Simon Coll)","Spain",2009,"Ghana","Ghana",0.85,2,"Beans,Sugar","roasty,oddly sweet,marshmallow",3
327,"Amatller (Simon Coll)","Spain",2009,"Ecuador","Ecuador",0.7,2,"Beans,Sugar","waxy mouthfeel, spicy",2.75
464,"Amatller (Simon Coll)","Spain",2009,"Ecuador","Ecuador",0.85,2,"Beans,Sugar","fatty, mushroom, off notes",2.75
1145,"Amazona","Peru",2013,"Peru","Bellavista Gran Pajeten, San Martin",0.73,3,"Beans,Sugar,Cocoa Butter","oily, vegetal, nutty, cocoa",3.5
1145,"Amazona","Peru",2013,"Peru","LamasdelChanka, San Martin, Oro Verde coop",0.72,3,"Beans,Sugar,Cocoa Butter","oily, vanilla, melon, cocoa",3.25
1498,"Ambrosia","Canada",2015,"Peru","Peru",0.68,2,"Beans,Sugar","rich, sour, mild smoke",3.5
1494,"Ambrosia","Canada",2015,"Madagascar","Madagascar",0.66,2,"Beans,Sugar","fruity, sour",3.25
1498,"Ambrosia","Canada",2015,"Dominican Republic","Dominican Republic",0.75,2,"Beans,Sugar","high roast, high astringnet",3.25
1498,"Ambrosia","Canada",2015,"Papua New Guinea","Papua New Guinea",0.63,2,"Beans,Sugar","smokey, savory",3.25
1498,"Ambrosia","Canada",2015,"Venezuela","Venezuela",0.7,2,"Beans,Sugar","sandy, roasty, nutty",3.25
1494,"Ambrosia","Canada",2015,"Belize","Belize",0.64,4,"Beans,Sugar,Cocoa Butter,Lecithin","roasty, brownie, nutty",3
2434,"Amedei","Italy",2019,"Blend","Toscano Black",0.7,3,"Beans,Sugar,Cocoa Butter","nut, fatty, rubbery, rich",2.75
2092,"Amedei","Italy",2018,"Blend","Nine",0.75,4,"Beans,Sugar,Cocoa Butter,Vanilla","sweet, delicate, complex",3.5
2088,"Amedei","Italy",2018,"Madagascar","Madagascar",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","vanilla, mint, roasty",3
2088,"Amedei","Italy",2018,"Venezuela","Chuao",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","vanilla, nuts, roasty",3
2092,"Amedei","Italy",2018,"Venezuela","Porcelana",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","nutty, mild roasty, vanilla",3
979,"Amedei","Italy",2012,"Peru","Piura, Blanco de Criollo",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","creamy, raspberry, nutty",3.75
123,"Amedei","Italy",2007,"Venezuela","Venezuela",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","creamy, fruit, cocoa",3.75
123,"Amedei","Italy",2007,"Grenada","Grenada",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","fruity with coffee notes",3.5
129,"Amedei","Italy",2007,"Trinidad","Trinidad",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","coffee, fruit, woodsy",3.5
170,"Amedei","Italy",2007,"Blend","Toscano Black",0.63,4,"Beans,Sugar,Cocoa Butter,Vanilla","fatty, dairy, caramel, cocoa",3.5
123,"Amedei","Italy",2007,"Ecuador","Ecuador",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","creamy, earthy, vegetal",3
123,"Amedei","Italy",2007,"Jamaica","Jamaica",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","sandy, woody, spicy",3
75,"Amedei","Italy",2006,"Blend","Toscano Black",0.66,4,"Beans,Sugar,Cocoa Butter,Vanilla","red wine, rich cocoa, long",3.75
1065,"AMMA","Brazil",2013,"Brazil","Catongo",0.75,4,"Beans,Sugar,Cocoa Butter,Lecithin","grainy, sweet, poor aftertaste",3.25
572,"AMMA","Brazil",2010,"Brazil","Monte Alegre, 3 diff. plantations",0.6,4,"Beans,Sugar,Cocoa Butter,Lecithin","creamy, sweet,cocoa,banana",4
572,"AMMA","Brazil",2010,"Brazil","Monte Alegre, 3 diff. plantations",0.5,4,"Beans,Sugar,Cocoa Butter,Lecithin","very sweet, bright red, banana",3.75
572,"AMMA","Brazil",2010,"Brazil","Monte Alegre, 3 diff. plantations",0.75,4,"Beans,Sugar,Cocoa Butter,Lecithin","roasty, fatty, nutty, coffee",3.75
572,"AMMA","Brazil",2010,"Brazil","Monte Alegre, 3 diff. plantations",0.85,4,"Beans,Sugar,Cocoa Butter,Lecithin","creamy, red berry, bitter",2.75
1259,"Anahata","U.S.A.",2014,"Dominican Republic","Elvesia",0.75,2,"Beans,Sugar","chalky, mild fruit, burnt",3
2586,"Animas","U.S.A.",2021,"Guatemala","Alta Verapaz, Cahabon & Lanquin regions, b. 4243",0.75,2,"Beans,Sugar","orange citrus, harsh earthiness",3.25
2586,"Animas","U.S.A.",2021,"Belize","Maya Mountain, batch 39",0.75,2,"Beans,Sugar","burnt toast, cherry",3
1852,"Animas","U.S.A.",2016,"Bolivia","Alto Beni",0.75,2,"Beans,Sugar","light roast, caramel, cocoa",3.5
1375,"Ara","France",2014,"Madagascar","Madagascar",0.75,3,"Beans,Sugar,Cocoa Butter","sandy, fruity, short",3
1379,"Ara","France",2014,"Venezuela","Trincheras",0.75,3,"Beans,Sugar,Cocoa Butter","nutty, mild spice, mild earthy",3
1379,"Ara","France",2014,"Ecuador","Equateur",0.75,3,"Beans,Sugar,Cocoa Butter","bitter, floral, leather",2.75
1379,"Ara","France",2014,"Mexico","Chiapas",0.72,3,"Beans,Sugar,Cocoa Butter","earthy, sour milk, leather",2.5
2330,"Arete","U.S.A.",2019,"India","Jangareddygudem",0.7,3,"Beans,Sugar,Cocoa Butter","herbs, mushroom, acidic",3.25
2450,"Arete","U.S.A.",2019,"India","Idukki",0.7,3,"Beans,Sugar,Cocoa Butter","burn butterscotch, rubbery",3
2254,"Arete","U.S.A.",2018,"Colombia","Tumaco",0.7,2,"Beans,Sugar","smooth, nutty, cocoa",4
2068,"Arete","U.S.A.",2018,"Trinidad","Ramnath E.",0.7,2,"Beans,Sugar","nuts, dried fruit, short",3
2024,"Arete","U.S.A.",2017,"Bolivia","Beniano",0.7,2,"Beans,Sugar","creamy, bright fruit",4
2028,"Arete","U.S.A.",2017,"Haiti","Pisa",0.7,2,"Beans,Sugar","long lasting, cocoa",4
2020,"Arete","U.S.A.",2017,"India","Anamalai",0.7,2,"Beans,Sugar","slight roasty, basic cocoa",3.5
2020,"Arete","U.S.A.",2017,"Madagascar","Sambirano Valley",0.7,3,"Beans,Sugar,Cocoa Butter","sour fruit",3.5
2020,"Arete","U.S.A.",2017,"Vietnam","Ben Tre",0.73,3,"Beans,Sugar,Cocoa Butter","rich cocoa, mild roasty",3.5
2028,"Arete","U.S.A.",2017,"Peru","Ucayali",0.7,3,"Beans,Sugar,Cocoa Butter","dried fruit, fig, anise",3.5
1908,"Arete","U.S.A.",2016,"Costa Rica","Coto Brus, Terciopelo",0.7,2,"Beans,Sugar","balanced, cherry, choco",4
1924,"Arete","U.S.A.",2016,"Peru","Phantom",0.7,2,"Beans,Sugar","creamy, complex, balanced",4
1724,"Arete","U.S.A.",2016,"Tanzania","Kokoa Kamili",0.7,2,"Beans,Sugar","appealing smoke, woody",3.75
1904,"Arete","U.S.A.",2016,"Nicaragua","Rugoso",0.7,3,"Beans,Sugar,Cocoa Butter","muddy, rich cocoa, raspberry",3.75
1928,"Arete","U.S.A.",2016,"Dominican Republic","Elvesia",0.7,2,"Beans,Sugar","dark berry, chocolatey",3.75
1724,"Arete","U.S.A.",2016,"Trinidad","San Juan",0.7,2,"Beans,Sugar","delicate, simple",3.5
1900,"Arete","U.S.A.",2016,"Vietnam","Tien Giang",0.73,3,"Beans,Sugar,Cocoa Butter","cashew, roasty, chunky melt",3.5
1904,"Arete","U.S.A.",2016,"Guatemala","Lachua",0.7,2,"Beans,Sugar","subtle, mysterious",3.5
1908,"Arete","U.S.A.",2016,"Honduras","La Masica, FHIA",0.7,2,"Beans,Sugar","nutty, green",3.5
1904,"Arete","U.S.A.",2016,"Ecuador","Hacienda Victoria",0.7,3,"Beans,Sugar,Cocoa Butter","sticky, floral, roasty",3.25
1904,"Arete","U.S.A.",2016,"Ecuador","Costa Esmeraldas",0.7,3,"Beans,Sugar,Cocoa Butter","chewy, mild floral",3.25
1928,"Arete","U.S.A.",2016,"Fiji","Matasawalevu",0.7,2,"Beans,Sugar","smoke, hammy, cocoa base",3.25
1928,"Arete","U.S.A.",2016,"Vietnam","Lam Dong",0.73,2,"Beans,Sugar","earthy, nutty, cardboard",3.25
1598,"Arete","U.S.A.",2015,"Nicaragua","Chuno",0.7,2,"Beans,Sugar","creamy,sticky, peanut butter",4
1534,"Arete","U.S.A.",2015,"Ecuador","Puerto Quito, heirloom",0.7,2,"Beans,Sugar","spicy, cocoa",3.75
1598,"Arete","U.S.A.",2015,"Belize","Maya Mountain",0.7,2,"Beans,Sugar","floral, strawberry, metallic",3.75
1534,"Arete","U.S.A.",2015,"Brazil","Fazenda Camboa",0.7,2,"Beans,Sugar","creamy, rich, rum, roasty",3.5
1534,"Arete","U.S.A.",2015,"Peru","Nacional",0.68,2,"Beans,Sugar","floral, nutty, rich cocoa",3.5
1598,"Arete","U.S.A.",2015,"Dominican Republic","Oko Caribe",0.7,2,"Beans,Sugar","spicy, brownie, nutty",3.5
1602,"Arete","U.S.A.",2015,"Ecuador","Camino Verde",0.75,3,"Beans,Sugar,Cocoa Butter","intense, floral, bourbon",3.5
1602,"Arete","U.S.A.",2015,"Guatemala","Guatemala",0.7,2,"Beans,Sugar","strawberry, butterscotch, off",3.25
1602,"Arete","U.S.A.",2015,"Brazil","Fazenda Camboa",0.75,2,"Beans,Sugar","floral, chemical off",2.75
2808,"Argencove","Nicaraqua",2022,"Nicaragua","Nicaragua, Batch No. 18",0.8,3,"Beans,Sugar,Cocoa Butter","bold, smooth, rich cocoa, citrus",3.75
2162,"Argencove","Nicaragua",2018,"Nicaragua","Mombacho",0.7,2,"Beans,Sugar","smooth, vegetal",3.5
2162,"Argencove","Nicaragua",2018,"Nicaragua","Cocibolca",0.7,2,"Beans,Sugar","roasty, rich cocoa",3.5
2162,"Argencove","Nicaragua",2018,"Nicaragua","Masaya",0.7,2,"Beans,Sugar","melon, late hammy",3.25
2166,"Argencove","Nicaragua",2018,"Nicaragua","Apoyo",0.7,2,"Beans,Sugar","cocoa, earthy, hammy",3
2828,"Aroko","Italy",2023,"Venezuela","Porcelana, maracaibo, criollo",0.72,3,"Beans,Sugar,Cocoa Butter","strong nutty, rich cocoa",3.5
2832,"Aroko","Italy",2023,"Venezuela","Chuao",0.7,3,"Beans,Sugar,Cocoa Butter","mild fruit, chocolatey",3.5
1193,"Artisan du Chocolat","U.K.",2013,"Trinidad","Trinidad, Heritage, Limited ed.",0.72,3,"Beans,Sugar,Cocoa Butter","gritty, nutty",3.25
947,"Artisan du Chocolat","U.K.",2012,"Colombia","Colombia, Casa Luker",0.72,3,"Beans,Sugar,Cocoa Butter","marshmallow, roasty, nutty",3.75
729,"Artisan du Chocolat","U.K.",2011,"Haiti","Haiti",0.72,3,"Beans,Sugar,Cocoa Butter","nuts, butterscotch, brownie",4
745,"Artisan du Chocolat","U.K.",2011,"Panama","Panama",0.72,3,"Beans,Sugar,Cocoa Butter","blackpepper,chemical,rubber",2.75
531,"Artisan du Chocolat","U.K.",2010,"Jamaica","Jamaica",0.72,3,"Beans,Sugar,Cocoa Butter","grassy, black licorice, mint",3.75
600,"Artisan du Chocolat","U.K.",2010,"Indonesia","Bali",0.72,3,"Beans,Sugar,Cocoa Butter","black pepper and banana",3.5
600,"Artisan du Chocolat","U.K.",2010,"Costa Rica","Costa Rica",0.72,3,"Beans,Sugar,Cocoa Butter","chewy, grassy, nutty",3.25
600,"Artisan du Chocolat","U.K.",2010,"Vietnam","Ba Ria Vung Tau Province",0.72,3,"Beans,Sugar,Cocoa Butter","unrefined, distinct spicey",3.25
363,"Artisan du Chocolat","U.K.",2009,"Dominican Republic","Dominican Republic",0.72,3,"Beans,Sugar,Cocoa Butter","spice, cocoa, short",3.25
363,"Artisan du Chocolat","U.K.",2009,"Madagascar","Madagascar",0.8,3,"Beans,Sugar,Cocoa Butter","sl. bitter, cherry, rich",3
363,"Artisan du Chocolat","U.K.",2009,"Peru","Peru",0.75,3,"Beans,Sugar,Cocoa Butter","spicey, mild metallic",3
355,"Artisan du Chocolat","U.K.",2009,"Indonesia","Java",0.72,3,"Beans,Sugar,Cocoa Butter","gritty, very smokey, sour",2.75
355,"Artisan du Chocolat","U.K.",2009,"Venezuela","Ocumare, Venezuela",0.75,3,"Beans,Sugar,Cocoa Butter","oily, nutty, burnt, sour",2.5
363,"Artisan du Chocolat","U.K.",2009,"Brazil","Brazil Rio Doce",0.72,3,"Beans,Sugar,Cocoa Butter","cocoa, dominate off note",1.75
300,"Artisan du Chocolat","U.K.",2008,"Congo","Congo",0.72,3,"Beans,Sugar,Cocoa Butter","spicy, minty, vegetal",3.75
1181,"Artisan du Chocolat (Casa Luker)","U.K.",2013,"Colombia","Orinoqua Region, Arauca",0.72,4,"Beans,Sugar,Cocoa Butter,Lecithin","creamy, marshmallow, off",2.75
2868,"Aruntam","Italy",2023,"Venezuela","Chuao, 2020 Harvest, Uncommon line",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","slow, mild plum, caramel, sour",3
2868,"Aruntam","Italy",2023,"Nicaragua","Chuno, Uncommon line",0.73,4,"Beans,Sugar,Cocoa Butter,Lecithin","harsh, tobacco, burnt, woody",3
2872,"Aruntam","Italy",2023,"Peru","Maranon, Uncommon line",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","grapes, pinapple, mint",3
